CreatorOS Production Issue History Export
  ==========================================
  Generated: 2026-06-05T18:41:38.162Z
  Source: Production PostgreSQL (read-only replica)

  Tables included (oldest to newest, all rows):
    1. audit_logs          — 3,669 rows from 2026-02-24 (OLDEST RECORD)
    2. dead_letter_queue   — 1,337 rows from 2026-03-25
    3. autonomous_action_log — 2,357 rows from 2026-04-27
    4. security_events     — 115 rows from 2026-04-11
    5. pipeline_traces     — 14 rows from 2026-05-24

  Prompt for AI analysis:
    "The following is the full issue/event history for an autonomous YouTube
     channel automation system called CreatorOS. Identify recurring failure
     patterns, systemic problems, periods of instability, and root causes.
     Note any escalation trends and what was working vs broken at each phase."

  ==========================================

  

================================================================================
SECTION: AUDIT LOGS (audit_logs) — 3,669 rows from 2026-02-24
2305,7210ff92-76dd-4d0a-80bb-9eb5be27508b,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-25T16:30:00.975Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-25 16:30:00.999145
2306,7210ff92-76dd-4d0a-80bb-9eb5be27508b,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-25T17:00:00.769Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-25 17:00:00.788251
2307,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-25T17:00:00.903Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-25 17:00:00.921829
2308,tiktok_-000hfXLzkfKJGE24wvR-qZP9Pw6iwxLWyeM,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-25T17:00:01.036Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-25 17:00:01.055577
2309,tiktok_-000hfXLzkfKJGE24wvR-qZP9Pw6iwxLWyeM,auto_backlog_completed,0 of 0 videos processed,,low,2026-04-25 17:30:00.249918
2310,7210ff92-76dd-4d0a-80bb-9eb5be27508b,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-25T17:30:00.833Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-25 17:30:00.848511
2311,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-25T17:30:00.959Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-25 17:30:00.973638
2312,tiktok_-000hfXLzkfKJGE24wvR-qZP9Pw6iwxLWyeM,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-25T17:30:01.084Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-25 17:30:01.098977
2313,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-25T18:00:01.069Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-25 18:00:01.084623
2314,7210ff92-76dd-4d0a-80bb-9eb5be27508b,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-25T18:00:02.042Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-25 18:00:02.061922
2315,tiktok_-000hfXLzkfKJGE24wvR-qZP9Pw6iwxLWyeM,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-25T18:00:02.263Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-25 18:00:02.280689
2316,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-25T18:30:00.583Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-25 18:30:00.595955
2317,tiktok_-000hfXLzkfKJGE24wvR-qZP9Pw6iwxLWyeM,auto_backlog_completed,0 of 0 videos processed,,low,2026-04-25 18:30:00.616389
2318,tiktok_-000hfXLzkfKJGE24wvR-qZP9Pw6iwxLWyeM,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-25T18:30:00.715Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-25 18:30:00.727858
2319,7210ff92-76dd-4d0a-80bb-9eb5be27508b,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-25T18:30:01.026Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-25 18:30:01.038601
2320,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-25T19:00:00.507Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-25 19:00:00.520735
2321,7210ff92-76dd-4d0a-80bb-9eb5be27508b,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-25T19:00:01.082Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-25 19:00:01.096646
2322,tiktok_-000hfXLzkfKJGE24wvR-qZP9Pw6iwxLWyeM,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-25T19:00:01.213Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-25 19:00:01.227436
2323,tiktok_-000hfXLzkfKJGE24wvR-qZP9Pw6iwxLWyeM,auto_backlog_completed,0 of 0 videos processed,,low,2026-04-25 19:30:00.241865
2324,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-25T19:30:00.258Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-25 19:30:00.271269
2325,7210ff92-76dd-4d0a-80bb-9eb5be27508b,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-25T19:30:00.653Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-25 19:30:00.667161
2326,tiktok_-000hfXLzkfKJGE24wvR-qZP9Pw6iwxLWyeM,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-25T19:30:00.795Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-25 19:30:00.808379
2327,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-25T20:00:00.741Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-25 20:00:00.754918
2328,tiktok_-000hfXLzkfKJGE24wvR-qZP9Pw6iwxLWyeM,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-25T20:00:00.911Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-25 20:00:00.924818
2329,7210ff92-76dd-4d0a-80bb-9eb5be27508b,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-25T20:00:01.579Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-25 20:00:01.59194
2330,tiktok_-000hfXLzkfKJGE24wvR-qZP9Pw6iwxLWyeM,auto_backlog_completed,0 of 0 videos processed,,low,2026-04-25 20:30:00.254348
2331,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-25T20:30:00.465Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-25 20:30:00.476561
2332,7210ff92-76dd-4d0a-80bb-9eb5be27508b,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-25T20:30:00.826Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-25 20:30:00.837986
2333,tiktok_-000hfXLzkfKJGE24wvR-qZP9Pw6iwxLWyeM,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-25T20:30:00.956Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-25 20:30:00.967765
2334,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-25T21:00:00.479Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-25 21:00:00.491247
2335,7210ff92-76dd-4d0a-80bb-9eb5be27508b,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-25T21:00:01.025Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-25 21:00:01.036953
2336,tiktok_-000hfXLzkfKJGE24wvR-qZP9Pw6iwxLWyeM,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-25T21:00:01.154Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-25 21:00:01.166068
2337,tiktok_-000hfXLzkfKJGE24wvR-qZP9Pw6iwxLWyeM,auto_backlog_completed,0 of 0 videos processed,,low,2026-04-25 21:30:00.316212
2338,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-25T21:30:00.562Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-25 21:30:00.575407
2339,tiktok_-000hfXLzkfKJGE24wvR-qZP9Pw6iwxLWyeM,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-25T21:30:00.726Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-25 21:30:00.739507
2340,7210ff92-76dd-4d0a-80bb-9eb5be27508b,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-25T21:30:01.083Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-25 21:30:01.096403
2341,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-25T22:00:00.652Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-25 22:00:00.665066
2342,tiktok_-000hfXLzkfKJGE24wvR-qZP9Pw6iwxLWyeM,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-25T22:00:00.810Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-25 22:00:00.82299
2343,7210ff92-76dd-4d0a-80bb-9eb5be27508b,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-25T22:00:01.310Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-25 22:00:01.323903
2344,7210ff92-76dd-4d0a-80bb-9eb5be27508b,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-25T22:30:00.724Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-25 22:30:00.747098
2345,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-25T22:30:00.873Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-25 22:30:00.893371
2346,tiktok_-000hfXLzkfKJGE24wvR-qZP9Pw6iwxLWyeM,auto_backlog_completed,0 of 0 videos processed,,low,2026-04-25 22:30:00.930784
2347,tiktok_-000hfXLzkfKJGE24wvR-qZP9Pw6iwxLWyeM,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-25T22:30:01.000Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-25 22:30:01.020278
2348,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-25T23:00:00.558Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-25 23:00:00.58515
2349,tiktok_-000hfXLzkfKJGE24wvR-qZP9Pw6iwxLWyeM,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-25T23:00:00.710Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-25 23:00:00.736713
2350,7210ff92-76dd-4d0a-80bb-9eb5be27508b,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-25T23:00:01.233Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-25 23:00:01.259917
2351,tiktok_-000hfXLzkfKJGE24wvR-qZP9Pw6iwxLWyeM,auto_backlog_completed,0 of 0 videos processed,,low,2026-04-25 23:30:00.419244
2352,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-25T23:30:01.766Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-25 23:30:01.770834
2353,tiktok_-000hfXLzkfKJGE24wvR-qZP9Pw6iwxLWyeM,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-25T23:30:03.411Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-25 23:30:03.415221
2354,7210ff92-76dd-4d0a-80bb-9eb5be27508b,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-25T23:30:04.672Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-25 23:30:04.676823
2355,7210ff92-76dd-4d0a-80bb-9eb5be27508b,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-26T00:00:04.985Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-26 00:00:04.98557
2356,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-26T00:00:05.391Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-26 00:00:05.391401
2357,tiktok_-000hfXLzkfKJGE24wvR-qZP9Pw6iwxLWyeM,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-26T00:00:05.660Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-26 00:00:05.661468
2358,tiktok_-000hfXLzkfKJGE24wvR-qZP9Pw6iwxLWyeM,auto_backlog_completed,0 of 0 videos processed,,low,2026-04-26 00:30:12.254575
2359,7210ff92-76dd-4d0a-80bb-9eb5be27508b,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-26T01:00:00.671Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-26 01:00:00.67514
2360,tiktok_-000hfXLzkfKJGE24wvR-qZP9Pw6iwxLWyeM,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-26T01:00:00.807Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-26 01:00:00.810998
2361,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-26T01:00:00.942Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-26 01:00:00.946212
2362,tiktok_-000hfXLzkfKJGE24wvR-qZP9Pw6iwxLWyeM,auto_backlog_completed,0 of 0 videos processed,,low,2026-04-26 01:30:04.695921
2363,7210ff92-76dd-4d0a-80bb-9eb5be27508b,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-26T02:00:01.034Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-26 02:00:01.044812
2364,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-26T02:00:01.171Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-26 02:00:01.18207
2365,tiktok_-000hfXLzkfKJGE24wvR-qZP9Pw6iwxLWyeM,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-26T02:00:01.388Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-26 02:00:01.405744
2366,tiktok_-000hfXLzkfKJGE24wvR-qZP9Pw6iwxLWyeM,auto_backlog_completed,0 of 0 videos processed,,low,2026-04-26 02:30:04.362339
2367,7210ff92-76dd-4d0a-80bb-9eb5be27508b,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-26T02:30:10.797Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-26 02:30:10.811638
2368,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-26T02:30:12.792Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-26 02:30:12.804114
2369,tiktok_-000hfXLzkfKJGE24wvR-qZP9Pw6iwxLWyeM,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-26T02:30:13.540Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-26 02:30:13.552415
2370,7210ff92-76dd-4d0a-80bb-9eb5be27508b,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-26T03:00:00.748Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-26 03:00:00.768666
2371,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-26T03:00:00.881Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-26 03:00:00.901764
2372,tiktok_-000hfXLzkfKJGE24wvR-qZP9Pw6iwxLWyeM,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-26T03:00:01.013Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-26 03:00:01.033066
2373,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-26T03:30:00.272Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-26 03:30:00.312231
2374,tiktok_-000hfXLzkfKJGE24wvR-qZP9Pw6iwxLWyeM,auto_backlog_completed,0 of 0 videos processed,,low,2026-04-26 03:30:00.363342
2375,tiktok_-000hfXLzkfKJGE24wvR-qZP9Pw6iwxLWyeM,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-26T03:30:00.427Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-26 03:30:00.467148
2376,7210ff92-76dd-4d0a-80bb-9eb5be27508b,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-26T03:30:00.929Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-26 03:30:00.969145
2377,tiktok_-000hfXLzkfKJGE24wvR-qZP9Pw6iwxLWyeM,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-26T04:00:00.464Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-26 04:00:00.475964
2378,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-26T04:00:00.638Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-26 04:00:00.649208
2379,7210ff92-76dd-4d0a-80bb-9eb5be27508b,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-26T04:00:01.232Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-26 04:00:01.244336
2380,tiktok_-000hfXLzkfKJGE24wvR-qZP9Pw6iwxLWyeM,auto_backlog_completed,0 of 0 videos processed,,low,2026-04-26 04:30:00.790478
2381,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-26T04:30:00.742Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-26 04:30:00.803533
2382,tiktok_-000hfXLzkfKJGE24wvR-qZP9Pw6iwxLWyeM,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-26T04:30:01.257Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-26 04:30:01.319437
2383,7210ff92-76dd-4d0a-80bb-9eb5be27508b,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-26T04:30:02.197Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-26 04:30:02.239786
2384,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-26T05:00:00.593Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-26 05:00:00.597599
2385,7210ff92-76dd-4d0a-80bb-9eb5be27508b,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-26T05:00:01.031Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-26 05:00:01.036052
2386,tiktok_-000hfXLzkfKJGE24wvR-qZP9Pw6iwxLWyeM,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-26T05:00:01.165Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-26 05:00:01.171143
2387,tiktok_-000hfXLzkfKJGE24wvR-qZP9Pw6iwxLWyeM,auto_backlog_completed,0 of 0 videos processed,,low,2026-04-26 05:30:00.617609
2388,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-26T05:30:00.635Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-26 05:30:00.643678
2389,tiktok_-000hfXLzkfKJGE24wvR-qZP9Pw6iwxLWyeM,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-26T05:30:00.827Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-26 05:30:00.837846
2390,7210ff92-76dd-4d0a-80bb-9eb5be27508b,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-26T05:30:01.663Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-26 05:30:01.672446
2391,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-26T06:00:00.950Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-26 06:00:00.959797
2392,7210ff92-76dd-4d0a-80bb-9eb5be27508b,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-26T06:00:01.922Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-26 06:00:01.931714
2393,tiktok_-000hfXLzkfKJGE24wvR-qZP9Pw6iwxLWyeM,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-26T06:00:02.109Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-26 06:00:02.119237
2394,tiktok_-000hfXLzkfKJGE24wvR-qZP9Pw6iwxLWyeM,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-26T06:30:00.322Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-26 06:30:00.332563
2395,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-26T06:30:00.470Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-26 06:30:00.480409
2396,tiktok_-000hfXLzkfKJGE24wvR-qZP9Pw6iwxLWyeM,auto_backlog_completed,0 of 0 videos processed,,low,2026-04-26 06:30:00.535985
2397,7210ff92-76dd-4d0a-80bb-9eb5be27508b,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-26T06:30:01.001Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-26 06:30:01.011771
2398,tiktok_-000hfXLzkfKJGE24wvR-qZP9Pw6iwxLWyeM,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-26T07:00:05.726Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-26 07:00:05.738113
2399,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-26T07:00:05.886Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-26 07:00:05.897677
2400,7210ff92-76dd-4d0a-80bb-9eb5be27508b,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-26T07:00:06.476Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-26 07:00:06.488194
2401,tiktok_-000hfXLzkfKJGE24wvR-qZP9Pw6iwxLWyeM,auto_backlog_completed,0 of 0 videos processed,,low,2026-04-26 07:30:00.582512
2402,tiktok_-000hfXLzkfKJGE24wvR-qZP9Pw6iwxLWyeM,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-26T07:30:00.615Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-26 07:30:00.628001
2403,7210ff92-76dd-4d0a-80bb-9eb5be27508b,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-26T07:30:01.568Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-26 07:30:01.582118
2404,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-26T07:30:01.727Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-26 07:30:01.741752
2405,7210ff92-76dd-4d0a-80bb-9eb5be27508b,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-26T08:00:02.054Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-26 08:00:02.068506
2406,tiktok_-000hfXLzkfKJGE24wvR-qZP9Pw6iwxLWyeM,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-26T08:00:02.480Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-26 08:00:02.505515
2407,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-26T08:00:02.707Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-26 08:00:02.720215
2408,tiktok_-000hfXLzkfKJGE24wvR-qZP9Pw6iwxLWyeM,auto_backlog_completed,0 of 0 videos processed,,low,2026-04-26 08:30:00.543825
2409,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-26T08:30:00.566Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-26 08:30:00.579413
2410,7210ff92-76dd-4d0a-80bb-9eb5be27508b,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-26T08:30:01.165Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-26 08:30:01.178338
2411,tiktok_-000hfXLzkfKJGE24wvR-qZP9Pw6iwxLWyeM,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-26T08:30:01.332Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-26 08:30:01.345419
2412,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-26T09:00:00.511Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-26 09:00:00.524602
2413,7210ff92-76dd-4d0a-80bb-9eb5be27508b,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-26T09:00:00.962Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-26 09:00:00.975932
2414,tiktok_-000hfXLzkfKJGE24wvR-qZP9Pw6iwxLWyeM,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-26T09:00:01.126Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-26 09:00:01.139686
2415,tiktok_-000hfXLzkfKJGE24wvR-qZP9Pw6iwxLWyeM,auto_backlog_completed,0 of 0 videos processed,,low,2026-04-26 09:30:00.516828
2416,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-26T09:30:00.517Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-26 09:30:00.531645
2417,tiktok_-000hfXLzkfKJGE24wvR-qZP9Pw6iwxLWyeM,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-26T09:30:00.672Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-26 09:30:00.686624
2418,7210ff92-76dd-4d0a-80bb-9eb5be27508b,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-26T09:30:01.059Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-26 09:30:01.072891
2419,ffc4776c-64d1-4715-baf5-e110062b4e87,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-26T10:00:01.518Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-26 10:00:01.531116
2420,7210ff92-76dd-4d0a-80bb-9eb5be27508b,content_verification_sweep,all_platforms,"{""timestamp"": ""2026-04-26T10:00:05.501Z"", ""liveHealthy"": 0, ""liveStreams"": 0}",low,2026-04-26 10:00:05.513308
